iter	Passed	Remaining
918	87636	7724
919	87723	7628
920	87849	7535
921	87945	7440
922	88025	7343
923	88114	7247
924	88225	7153
925	88321	7058
926	88405	6961
927	88507	6866
928	88613	6772
929	88701	6676
930	88777	6579
931	88877	6484
932	88981	6389
933	89076	6294
934	89158	6198
935	89248	6102
936	89340	6006
937	89433	5911
938	89551	5817
939	89659	5722
940	89752	5627
941	89847	5531
942	89956	5437
943	90048	5341
944	90159	5247
945	90260	5152
946	90367	5057
947	90443	4961
948	90537	4865
949	90615	4769
950	90704	4673
951	90797	4578
952	90896	4482
953	91000	4387
954	91076	4291
955	91165	4195
956	91238	4099
957	91317	4003
958	91402	3907
959	91491	3812
960	91583	3716
961	91672	3621
962	91762	3525
963	91834	3429
964	91950	3334
965	92045	3239
966	92141	3144
967	92222	3048
968	92317	2953
969	92409	2858
970	92505	2762
971	92583	2667
972	92702	2572
973	92797	2477
974	92888	2381
975	93009	2287
976	93117	2192
977	93211	2096
978	93292	2001
979	93384	1905
980	93494	1810
981	93578	1715
982	93688	1620
983	93775	1524
984	93863	1429
985	93972	1334
986	94075	1239
987	94183	1143
988	94264	1048
989	94348	953
990	94437	857
991	94542	762
992	94636	667
993	94744	571
994	94828	476
995	94921	381
996	95003	285
997	95093	190
998	95201	95
999	95305	0
